/sentence/@id;/sentence/#id;/sentence/aspectTerms/aspectTerm/@from;polarity;aspect_term;/sentence/aspectTerms/aspectTerm/@to;sentence
917;13;89;negative;GUI;92; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.
917;13;94;negative;screen;100; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.
917;13;111;neutral;power light;122; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.
917;13;131;negative;hard drive ligh;146; One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.
1788;14;;;;;Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.
338;15;119;negative;processor;128;"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours)."
338;15;138;negative;graphics cards;152;"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours)."
338;15;205;positive;battery life;217;"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours)."
1630;16;87;neutral;battery;94;I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.
38;17;50;positive;rubber enclosure;66;In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).
38;17;108;negative;edge;112;In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).
337;18;13;positive;multi-touch gestures;33;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).
337;18;44;positive;tracking area;57;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).
337;18;73;neutral;external mouse;87;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).
337;18;115;neutral;gaming;121;However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).
1505;19;;;;;Plus it is small and reasonably light so I can take it with me to and from work.
263;20;;;;;I HATE this one.
1227;21;;;;;They were totally unconcerned that the computer was not correctly repaired in the first place.
1019;22;;;;;Toshiba does not send any one out unless you have paid extra to have the on site repair done.
1158;23;;;;;Oh, boy!
1168;24;;;;;But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.
2568;25;26;positive;suite of software;43;I love the way the entire suite of software works together.
295;26;4;positive;speed;9;The speed is incredible and I am more than satisfied.
951;27;;;;;on the bright side at least I wasn't without my laptop for long this time!
2759;28;40;positive;Windows 7;49;This laptop meets every expectation and Windows 7 is great!
2055;29;;;;;That's how frustrating it was.
2980;30;21;negative;usb devices;32;I can barely use any usb devices because they will not stay connected properly.
2454;31;;;;;The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.
1054;32;12;conflict;keyboard;20;-No backlit keyboard, but not an issue for me.
743;33;50;neutral;software;58;When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
743;33;111;negative;system;117;When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.
1155;34;;;;;I can't even turn it off.
2587;35;51;negative;Microsoft office for the mac;79;One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.
2202;36;67;positive;syncing;74;Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.
2799;37;;;;;I shopped around before buying.
2227;38;32;positive;"30"" HD Monitor";46;"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
2227;38;80;neutral;screen;86;"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"
2241;39;;;;;Would do business again.
92;40;23;negative;boot up;30;The machine is slow to boot up and occasionally crashes completely.
1204;41;46;negative;service;53;After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.
2026;42;;;;;I have had the luxury (sarcasm) of owning 2 of these laptops.
535;43;;;;;What a waste.
478;44;;;;;It was a total Dhell experience that I will never repeat.
1690;45;;;;;There are a few flaws as well that I noticed.
1789;46;;;;;Completely worth every single penny dime and nickel.
250;47;;;;;I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.
325;48;26;conflict;battery;33;I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.
324;49;;;;;:) In the past four years I've had it I have never once gotten a virus.
1574;50;11;positive;operating system;27;I love the operating system and the preloaded software.
1574;50;36;positive;preloaded software;54;I love the operating system and the preloaded software.
1005;51;;;;;They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.
989;52;;;;;I've tried going back to XL but there still problems.
3073;53;40;positive;price;45;The best thing about this laptop is the price along with some of the newer features.
3073;53;75;positive;features;83;The best thing about this laptop is the price along with some of the newer features.
1254;54;57;negative;clock in BIOS setup;76;After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).
810;55;44;negative;WARRANTY SERVICE;60;YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.
1346;56;;;;;But it may be potentially hundreds or thousands in the near future.
2383;57;;;;;Has met or exceeded my needs for a compact travel device.
130;58;48;negative;brand;53;but now i have realized its a problem with this brand.
1253;59;;;;;It cannot save the correct date and time I set.
839;60;59;positive;warranty;67;I sent it back to Toshiba twice they covered it under the  warranty.
1473;61;;;;;And this isn't just my one experine.
782;62;;;;;They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.
696;63;58;positive;features;66;I was looking for a mac which is portable and has all the features that I was looking for.
2878;64;;;;;I would highly recommend this one to my friends
226;65;;;;;I honestly love my mac, thats why I am a self proclaimed mac addict.
1652;66;;;;;And these are some reasons you should get a macbook pro.
1030;67;25;negative;fan;28;Also kinda loud when the fan was running.
1425;68;31;neutral;Customer Service number;54;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
1425;68;76;negative;warranty;84;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
1425;68;137;negative;talking to a technician;160;"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."
2861;69;;;;;I purchased this laptop while on a business trip to keep up with my email.
661;70;43;negative;hard disc;52;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
661;70;70;negative;windows;77;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
661;70;122;neutral;drivers;129;There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.
997;71;0;positive;Drivers;7;Drivers updated ok but the BIOS update froze the system up and the computer shut down.
997;71;27;negative;BIOS update;38;Drivers updated ok but the BIOS update froze the system up and the computer shut down.
997;71;49;negative;system;55;Drivers updated ok but the BIOS update froze the system up and the computer shut down.
192;72;;;;;#NAME?
463;73;28;neutral;HP Technical Support;48;Spent 2 hours on phone with HP Technical Support.
2866;74;;;;;This is my second laptop,and it is head and shoulders above my first.
935;75;;;;;at first!
1193;76;16;negative;browser;23;Speaking of the browser, it too has problems.
2192;77;;;;;I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.
147;78;4;negative;keyboard;12;The keyboard is too slick.
1433;79;46;neutral;virus scan;56;Nightly my computer defrags itself and runs a virus scan.
1669;80;10;negative;9 punds;17;It's like 9 punds, but if you can look past it, it's GREAT!
2462;81;27;neutral;program;34;It's just as fast with one program open as it is with sixteen open.
2719;82;12;negative;warrenty;20;Still under warrenty so called Toshiba, no help at all.
1224;83;120;negative;Toshiba Warranty;136;I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.
588;84;;;;;I LOVE IT!
2492;85;8;positive;Quality;15;Amazing Quality!
1541;86;48;neutral;webcam;54;The fact that you can spend over $100 on just a webcam underscores the value of this machine.
1541;86;71;positive;value;76;The fact that you can spend over $100 on just a webcam underscores the value of this machine.
3060;87;27;neutral;internet;35;I mainly use it for email, internet, and managing personal files (pics, vids, etc.).
3060;87;41;neutral;managing personal files;64;I mainly use it for email, internet, and managing personal files (pics, vids, etc.).
915;88;32;negative;motherboard;43;A month or so ago, the freaking motherboard just died.
2050;89;4;negative;system;10;The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.
460;90;30;negative;charger;37;Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
460;90;92;negative;hardware;100;Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
1954;91;;;;;I took it back to Best Buy where they were so helpful and immediately gave me a new one.
1728;92;;;;;If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.
620;93;;;;;"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack""."
2423;94;;;;;This machine delivers.
1781;95;;;;;Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.
645;96;;;;;I complain again...
2;97;;;;;This laptop is insane!!!
1524;98;62;positive;force quit;72;If a website ever freezes (which is rare), its really easy to force quit.
2472;99;;;;;It does run a little warm but that is a negligible concern.
803;100;10;negative;works;15;It rarely works and when it does it's incredibly slow.
2225;101;66;positive;Windows 7;75;I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
2225;101;95;neutral;VMWare program;109;I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.
2644;102;44;positive;operating system;60;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!
2644;102;84;positive;runs;88;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!
2644;102;23;positive;navigate;31;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!
2644;102;65;positive;find files;75;It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!
1365;103;64;negative;warrenty;72;Purchased a Toshiba Lap top it worked good until just after the warrenty went out.
1555;104;;;;;I always swore by PCs and would never consider a MAC.
2199;105;;;;;what an elegant, wonderful machine.
72;106;;;;;This is now my 3rd MacBook Pro and I really honestly love it!
1151;107;;;;;for 2 months.
2033;108;25;neutral;extended warranty;42;I wanted to purchase the extended warranty and they refused, because they knew it was trouble.
2113;109;;;;;Do you ever think HP would do that? NEVER!
2271;110;16;neutral;memory;22;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
2271;110;98;positive;speed;103;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
2271;110;75;positive;performace;85;We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.
1307;111;;;;;It's not like I have used for half a year and then complained about it.
2186;112;;;;;Still trying to learn how to use it.
103;113;92;negative;opening my Documents folder;119;The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.
1875;114;;;;;I bought the netbook because it was smaller and lighter for me to carry around.
1359;115;;;;;The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.
2483;116;;;;;We'll save our money to replace it with a Mac again!
2945;117;;;;;Thank you for your great product!
197;118;;;;;"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen..."
1149;119;93;negative;operating systems;110;I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.
163;120;;;;;Sorry Toshiba, but 1st impressions do count for something.
900;121;27;negative;charger;34;Then, within 5 months, the charger crapped out on me.
1649;122;88;positive;speed;93;And if you have a iphone or ipod touch you can connect and download songs to it at high speed.
2972;123;;;;;Overall this laptop is great.
446;124;11;positive;glass touchpad;25;I love the glass touchpad.
1912;125;66;negative;hard drive;76;  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.
1912;125;81;negative;mother board;93;  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.
2752;126;15;positive;external speaker;31;I am using the external speaker- sound is good.
2752;126;33;positive;sound;38;I am using the external speaker- sound is good.
270;127;;;;;The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.
2646;128;;;;;Ok, this is probably the best laptop series ever devised by Apple.
886;129;;;;;As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.
2381;130;18;negative;battery life;30;still testing the battery life as i thought it would be better, but am very happy with the upgrade.
404;131;37;negative;hardware;45;Then HP sends it back to me with the hardware screwed up, not able to connect.
2772;132;;;;;I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.
407;133;36;negative;shipping;44;Oh yeah, don't forget the expensive shipping to and from HP.
699;134;;;;;I would recommend anyone to buy from pcconnection express.
1034;135;;;;;Good luck.
1731;136;30;positive;Mac software;42;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.
1731;136;72;negative;Microsoft software;90;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.
1731;136;25;positive;use;28;Everything is so easy to use, Mac software is just so much simpler than Microsoft software.
1863;137;;;;;  My favorite by far, although the most expensive, was my Sony.
1186;138;80;negative;delete  key;91;And if you do a lot of writing, editing is a problem since there is no  forward delete  key.
1186;138;32;negative;editing;39;And if you do a lot of writing, editing is a problem since there is no  forward delete  key.
1029;139;;;;;Also I typed faster then then letters would show and it got to be realy annoying.
1014;140;;;;;As an owner of a Toshiba Satalite laptop computer things you should know before you buy.
2470;141;12;positive;use;15;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
2470;141;28;positive;service;35;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
2470;141;60;positive;phone assistance;76;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
2470;141;99;positive;genius bar;109;Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.
331;142;17;positive;battery life;29;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
331;142;180;positive;battery life;192;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
331;142;142;neutral;gaming;148;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
331;142;153;neutral;movie playing;166;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
331;142;48;neutral;web browsing;60;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
331;142;65;neutral;word editing;77;It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.
1073;143;;;;;I shipped out on Saturday, July 17.
2788;144;;;;;I bought it for really cheap also and it's AMAZING.
1057;145;29;positive;recovery discs;43;Acer has set me up with FREE recovery discs, when they are available since I asked.
1095;146;17;neutral;"Office Max's ""Max Assurance""";45;"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause."
210;147;;;;;If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.
1718;148;39;neutral;iMac backup disc;55;I eventually did the migration from my iMac backup disc which uses USB.
1718;148;67;neutral;USB;70;I eventually did the migration from my iMac backup disc which uses USB.
2770;149;;;;;Those things are very important - vital even!
642;150;;;;;"-They say it will take ""up to two weeks""."
471;151;;;;;I didn't like one thing about it.
2923;152;4;positive;battery life;16;The battery life seems to be very good, and have had no issues with it.
3027;153;13;negative;battery timer;26;Enabling the battery timer is useless.
654;154;0;neutral;Temperatures;12;Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
654;154;64;neutral;Core Processing Unit temperatures;97;Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.
1340;155;;;;;Yeah, to you.
2638;156;;;;;I got a mac as my HS graduation gift.
2099;157;;;;;I have now had it for 1.5 months and love it.
58;158;;;;;It turned out it's not really a problem to have a Mac.
2716;159;;;;;Page just disapeared after you got yahoo or downloaded something.
2317;160;;;;;Images can be multi-selected and viewed swiftly or in slideshow mode.
1110;161;21;neutral;service;28;Going to bring it to service today.
1488;162;29;positive;virus protection for Mac;53;There is no need to purchase virus protection for Mac, which saves me a lot of time and money.
488;163;20;negative;bluetooth;29;But we had paid for bluetooth, and there was none.
1289;164;22;neutral;LG notebook service center;48;So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.
1289;164;93;negative;hinge;98;So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.
2985;165;24;neutral;games;29;My daughter uses it for games, email, facebook, pictures and music.
2145;166;;;;;Laptop is to be used like a Netbook.
1573;167;40;positive;responds;48;It is always reliable, never bugged and responds well.
1928;168;63;negative;motherboard;74;After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
1928;168;114;neutral;motherboard;125;After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.
704;169;;;;;Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.
1099;170;37;negative;hardware;45;It was slow, locked up, and also had hardware replaced after only 2 months!
1347;171;24;negative;motherboard;35;they had to replace the motherboard in April
1408;172;110;positive;use;113;Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.
1374;173;31;negative;representive at Microsoft;56;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.
1374;173;170;negative;system;176;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.
1374;173;217;positive;XP;219;Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.
34;174;;;;;There is a little indent to help open it - but good luck with that.
2864;175;7;positive;WIndows 7;16;I love WIndows 7 which is a vast improvment over Vista.
2864;175;49;negative;Vista;54;I love WIndows 7 which is a vast improvment over Vista.
815;176;;;;;  Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.
2801;177;;;;;It Was a great deal after all.
1568;178;;;;;This mac is great!
30;179;0;positive;Keyboard;8;Keyboard is great, very quiet for all the typing that I do.
362;180;;;;;I grew up in a design family so it only made sense.
619;181;;;;;Gave phonenumber.
708;182;;;;;It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.
167;183;;;;;Oh my goodness-I am not a happy camper.
474;184;0;negative;Dell's customer disservice;26;Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.
1563;185;;;;;I'd recommend this laptop to anyone!
172;186;;;;;Yet, HP won't do anything about the problem.
1396;187;;;;;i'm returning mine
156;188;9;negative;cooling system;23;It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.
156;188;64;neutral;use;67;It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.
2095;189;97;positive;quad core I7;109;I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.
46;190;;;;;It's a bummer and one out of five is being kind.
418;191;;;;;This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.
1722;192;50;positive;sales associate;65;After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.
2004;193;29;positive;system;35;"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;"
2004;193;58;neutral;Windows applications;78;"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;"
2296;194;58;negative;virus program;71;You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.
1514;195;;;;;This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.
2699;196;;;;;One of them seems to have worked.
524;197;;;;;Which I still use and have hooked up to my TV.
155;198;;;;;The problem I had with this unit was unresolvable.
493;199;3;neutral;weighed;10;It weighed like seven pounds or something like that.
493;199;16;neutral;seven pounds;28;It weighed like seven pounds or something like that.
902;200;20;negative;battery;27;2 months later, the battery went.
2433;201;32;neutral;bag;35;You may need to special order a bag.
1675;202;5;positive;color;10;It's color is even cool.
3000;203;;;;;and it has blue screen crashed on me twice.
954;204;;;;;  Another two weeks later and it was back in my possession.
609;205;0;negative;keys;4;keys are all in weird places and is way too large for the way it is designed.
609;205;68;negative;designed;76;keys are all in weird places and is way too large for the way it is designed.
50;206;;;;;"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had."
1265;207;;;;;We purchase the Dell XPS several years ago for my home business.
2150;208;;;;;Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.
1777;209;;;;;I would recommend anyone to buy from pcconnection express.
296;210;95;positive;style;100;Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.
296;210;102;positive;speed;107;Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.
1585;211;;;;;He gave me this PC about 3 years ago and up to this point im still sitting here using it.
2444;212;;;;;I'm pleased.
2335;213;4;positive;keyboard;12;The keyboard feels good and I type just fine on it.
1635;214;;;;;With a healthy pessimism, I took the machine home and tried to find a flaw.
1661;215;;;;;Shiny  This Laptop is the Best of the best!
2416;216;76;neutral;mousepad;84;I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.
1471;217;62;negative;battery;69;And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.
1388;218;;;;;Don't waste their money, save it and but a mac.
715;219;;;;;Money and time well spent!
1901;220;;;;;  Gradually the freezing screen evolved into a screen that froze in weird shapes.
1427;221;26;positive;sales;31;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple
1427;221;33;positive;service;40;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple
1427;221;128;positive;DELL SUPPORT;140;BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple
2389;222;;;;;Good laptop for the money.
2667;223;;;;;I like the laptop overall.
1618;224;;;;;I now travel with this laptop and my work PC.
1460;225;;;;;  I am however pleased that it is still hanging in there.
2964;226;;;;;Both my husband and I have this model Toshiba.
911;227;133;neutral;hard drive;143;no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.
911;227;152;neutral;motherboard;163;no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.
2001;228;58;positive;speed;63;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.
2001;228;65;positive;construction quality;85;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.
2001;228;91;positive;longevity;100;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.
2001;228;10;conflict;cost;14;Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.
2465;229;71;positive;keyboard;79;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
2465;229;84;positive;keys;88;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
2465;229;118;positive;"configuration of ""extra key""";146;"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."
2331;230;19;neutral;touch pad;28;) I also tried the touch pad and compared it to other netbooks in the store.
599;231;70;positive;use;73;It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.
599;231;75;positive;security;83;It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.
599;231;146;conflict;pricetag;154;It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.
823;232;36;negative;use;39;  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.
823;232;92;negative;work;96;  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.
3006;233;8;positive;preloaded software;26;lots of preloaded software.
1861;234;;;;;  Sony, Acer, Dell, Packard Bell and Toshiba.
1301;235;;;;;and then, a guy came out to serve me instead.
788;236;;;;;Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!
2056;237;;;;;Have returned that laptop unused.
825;238;;;;;  Will probably never buy a HP again.
1823;239;;;;;I got tired of buying laptops and having them stop working after a year.
2439;240;;;;;I should have been more observant.
2941;241;16;negative;webcam;22;I wish it had a webcam though, then it would be perfect!
2776;242;51;positive;vga port;59;My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
2776;242;92;neutral;screen;98;My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.
1686;243;33;positive;battery life;45;Another thing I might add is the battery life is excellent.
2091;244;25;negative;keys;29;One drawback, I wish the keys were backlit.
